id_produto,produto,valor
296,Lang Club,102
366,Octavia Grove,194
347,Maximilian Springs,38
326,Larson Garden,273
290,Hipolito Passage,49
316,Jennyfer Harbors,38
202,Zemlak Manor,404
252,Mallory Canyon,44
218,Kihn Grove,224
324,Kole Tunnel,203
339,Reina Hollow,58
238,Alexandrine Glens,295
399,Esther Glen,460
355,Zieme Lodge,154
333,Mann Parkway,441
272,Edwardo Harbor,100
306,Kautzer Extensions,249
283,Roberts Meadows,54
267,Jada Lakes,156
269,German Place,294
237,Hickle Plains,444
374,Ritchie Crest,294
242,Jakayla Viaduct,114
264,Abshire Streets,241
386,Salma Parkway,191
387,Daugherty Freeway,281
385,Breitenberg Isle,266
338,Feest Vista,341
282,Dedrick Courts,399
255,Odell Landing,360
340,Torphy Roads,313
379,Hills Station,53
332,Hills Freeway,472
217,Grady Dam,283
358,Gleason Key,7
279,Trycia Shoal,487
291,Williamson Mission,99
323,Schmitt Pines,300
256,Koelpin Roads,158
230,Sipes Summit,367
364,Makenna Ford,495
236,Durgan Centers,374
351,Princess Squares,282
298,Gretchen Forks,353
350,Parisian Orchard,194
293,Audrey Knolls,108
308,Kennedy Divide,40
208,Schulist Flat,342
280,Alba Meadow,249
214,Melissa Unions,291
292,Cleve Haven,79
201,Konopelski Groves,491
346,Kessler Branch,57
343,Bergnaum Branch,471
228,Linnea Trail,225
368,Davis Gateway,216
315,Name Ford,465
266,Rolfson Gardens,188
336,Boyle Gardens,141
311,Malinda Lock,465
375,Hipolito Divide,283
400,Erna Mountain,399
381,Emma Drive,34
390,Abshire Expressway,480
234,Grant Stravenue,461
212,Andreanne Junction,270
250,Shields Canyon,301
301,Brent Common,204
331,Irving Run,312
229,Kohler Motorway,303
251,Marquis Run,180
271,Berta Place,328
393,Kelton Circle,425
396,Armstrong Isle,331
270,Ratke Spurs,378
281,Lubowitz Crossroad,302
312,Fanny Summit,226
245,Kathryne Union,99
320,Hilton Mills,2
224,Brent Square,391
239,Kris Pike,32
258,Georgette Drive,112
362,Dortha Mountains,208
309,Lillian Burg,88
365,King Points,434
305,Dane View,67
248,Ali Mills,442
261,Skiles Loaf,365
225,Sheila Spring,395
376,Gibson View,488
325,Gottlieb Ports,441
204,Will Creek,373
322,Torp Forge,54
319,Jordy Island,287
259,Schmeler Springs,246
213,Mollie Cape,279
220,Sanford Locks,495
268,Dooley Greens,147
285,Ernestine Shoal,427
288,Kuhic Springs,459
263,Rath Mission,449
337,Magnolia Forge,130
294,Darien Mission,1
253,Predovic Wells,276
243,Pearline Glen,342
318,Wolff Village,33
231,Watsica Harbors,77
303,Murazik Forest,66
219,Emard Lakes,484
277,Antonia Harbors,373
226,Ethelyn Mountains,221
310,Elsie Court,400
330,Bethel Plains,251
373,Gutkowski Brooks,448
344,Spinka Port,264
249,Morar Via,1
246,Schultz Forest,203
397,Clarissa Drives,171
287,Audrey Summit,348
314,Crist Well,1
389,Elissa Parkways,250
361,Satterfield Crest,346
388,Ferne Glens,422
380,Bennett Glen,494
369,Miller Cape,249
203,Lueilwitz Lane,212
233,Giovanni Stream,137
307,Leo Cape,13
360,Flatley Groves,247
372,Hoppe Parkways,465
348,Morissette Skyway,122
274,Tressa Motorway,257
257,Donavon Plaza,474
395,Lia Isle,19
244,DuBuque Court,44
370,Lorena Highway,467
304,Ila Throughway,227
377,Halvorson Turnpike,72
216,Robel Stream,64
278,Mafalda Villages,450
289,Elisa Isle,306
359,Emely Crest,490
222,Retha Summit,322
382,Murray Summit,236
398,Chet Loaf,344
367,Morar Hollow,228
284,Lynch Via,6
317,Rick Vista,357
321,Kasandra Haven,81
210,Fay Islands,387
254,Kayley Unions,201
334,O'Conner Crest,127
356,Aufderhar Union,440
275,Feil Spring,83
302,Angeline Extension,306
247,Guadalupe Drive,210
215,Dooley Stravenue,152
297,Sylvia Parkways,112
211,Vinnie Valleys,116
232,Gulgowski Grove,73
209,Genesis Mills,114
273,Rohan Plaza,374
345,Robyn Overpass,370
295,Wilfred Junction,213
353,Schmitt Mission,231
383,Muhammad Throughway,234
205,Mattie Field,98
354,Melvin Port,285
341,Dayton Motorway,94
378,Eulah Prairie,379
265,Keshawn Junction,406
392,Upton Meadow,445
276,Kerluke Curve,24
260,Hand Mission,353
349,Runolfsson Overpass,41
329,Eulah Burgs,360
262,Boehm Way,319
384,Cremin Trace,243
371,Toy Stravenue,52
328,Spinka Route,454
241,Beahan Circles,369
240,Hayden Lake,15
352,Noe Avenue,216
207,Augustus Square,470
300,Kemmer Walk,217
227,Emile Cape,194
335,Laron Trafficway,17
327,Padberg Streets,478
286,Laisha Valleys,198
206,Murphy Burg,17
357,Beer Dale,496
363,Johnathon Court,370
299,Hettinger Views,323
391,Greenholt Skyway,299
313,Smitham Falls,44
221,Shaylee Glen,330
223,Talon Ports,259
342,Ethelyn Way,64
394,Coralie Valley,408
235,Roselyn Road,93
