id_pais,id_regiao,id_estado,municipio,municipio_estado,latitude,longitude,id_municipio
1,1,20,Alta Floresta D'Oeste,Alta Floresta D'Oeste (RO),"-12,47","-62,27",1
1,1,20,Cacoal,Cacoal (RO),"-11,3","-61,32",2
1,1,20,Cerejeiras,Cerejeiras (RO),"-13,2","-61,26",3
1,1,20,Colorado do Oeste,Colorado do Oeste (RO),"-13,16","-60,55",4
1,1,20,Corumbiara,Corumbiara (RO),"-12,93","-61,09",5
1,1,20,Espigão D'Oeste,Espigão D'Oeste (RO),"-11,35","-60,78",6
1,1,20,Ji-Paraná,Ji-Paraná (RO),"-10,46","-61,76",7
1,1,20,Ouro Preto do Oeste,Ouro Preto do Oeste (RO),"-10,61","-62,17",8
1,1,20,Pimenta Bueno,Pimenta Bueno (RO),"-11,89","-60,83",9
1,1,20,Porto Velho,Porto Velho (RO),"-9,153","-64,31",10
1,1,20,Presidente Médici,Presidente Médici (RO),"-11,17","-61,88",11
1,1,20,Rolim de Moura,Rolim de Moura (RO),"-11,73","-61,77",12
1,1,20,Santa Luzia D'Oeste,Santa Luzia D'Oeste (RO),"-12,03","-61,7",13
1,1,20,Vilhena,Vilhena (RO),"-12,09","-60,25",14
1,1,20,São Miguel do Guaporé,São Miguel do Guaporé (RO),"-11,61","-62,98",15
1,1,20,Nova Mamoré,Nova Mamoré (RO),"-10,38","-64,63",16
1,1,20,Alvorada D'Oeste,Alvorada D'Oeste (RO),"-11,31","-62,54",17
1,1,20,Alto Alegre dos Parecis,Alto Alegre dos Parecis (RO),"-12,59","-61,88",18
1,1,20,Alto Paraíso,Alto Paraíso (RO),"-9,649","-63,39",19
1,1,20,Cacaulândia,Cacaulândia (RO),"-10,33","-62,99",20
1,1,20,Castanheiras,Castanheiras (RO),"-11,47","-61,88",21
1,1,20,Mirante da Serra,Mirante da Serra (RO),"-11,08","-62,85",22
1,1,20,Monte Negro RO,Monte Negro (RO),"-10,21","-63,37",23
1,1,20,Parecis,Parecis (RO),"-12,26","-61,42",24
1,1,20,Pimenteiras do Oeste,Pimenteiras do Oeste (RO),"-13,17","-61,55",25
1,1,20,São Felipe D'Oeste,São Felipe D'Oeste (RO),"-11,9","-61,47",26
1,1,20,São Francisco do Guaporé,São Francisco do Guaporé (RO),"-12,37","-63,12",27
1,1,20,Urupá,Urupá (RO),"-11,1","-62,42",28
1,1,20,Vale do Paraíso,Vale do Paraíso (RO),"-10,38","-62,09",29
1,1,21,Alto Alegre,Alto Alegre (RR),"3,078257154","-62,76",30
1,1,21,Boa Vista,Boa Vista (RR),"3,117914945","-60,72",31
1,1,21,Bonfim,Bonfim (RR),"2,787100524","-60,1",32
1,1,21,Cantá,Cantá (RR),"2,27283672","-60,54",33
1,1,21,Caracaraí,Caracaraí (RR),"0,990918732","-61,47",34
1,1,21,Caroebe,Caroebe (RR),"0,914688745","-59,34",35
1,1,21,Iracema,Iracema (RR),"2,190465394","-62,45",36
1,1,21,Mucajaí,Mucajaí (RR),"2,513323562",-62,37
1,1,21,Rorainópolis,Rorainópolis (RR),"0,037823123","-61,01",38
1,1,21,São Luiz,São Luiz (RR),"0,884434676","-60,15",39
1,1,12,Abaetetuba,Abaetetuba (PA),"-1,73","-48,88",40
1,1,12,Abel Figueiredo,Abel Figueiredo (PA),"-4,957","-48,42",41
1,1,12,Alenquer,Alenquer (PA),"-0,6047","-55,04",42
1,1,12,Almeirim,Almeirim (PA),"0,284478937","-53,89",43
1,1,12,Altamira,Altamira (PA),"-6,486","-53,89",44
1,1,12,Aurora do Pará,Aurora do Pará (PA),"-2,231","-47,73",45
1,1,12,Bom Jesus do Tocantins,Bom Jesus do Tocantins (PA),"-5,054","-48,76",46
1,1,12,Brejo Grande do Araguaia,Brejo Grande do Araguaia (PA),"-5,736","-48,43",47
1,1,12,Breu Branco,Breu Branco (PA),"-3,733","-49,37",48
1,1,12,Cumaru do Norte,Cumaru do Norte (PA),"-8,458","-51,22",49
1,1,12,Dom Eliseu,Dom Eliseu (PA),"-4,187","-47,9",50
1,1,12,Goianésia do Pará,Goianésia do Pará (PA),"-4,027","-49,01",51
1,1,12,Ipixuna do Pará,Ipixuna do Pará (PA),"-2,806","-47,92",52
1,1,12,Jacundá,Jacundá (PA),"-4,599","-49,18",53
1,1,12,Marabá,Marabá (PA),"-5,63","-50,02",54
1,1,12,Medicilândia,Medicilândia (PA),"-3,16","-53,19",55
1,1,12,Moju,Moju (PA),"-2,684","-49,07",56
1,1,12,Nova Ipixuna,Nova Ipixuna (PA),"-4,981","-49,23",57
1,1,12,Novo Repartimento,Novo Repartimento (PA),"-4,503","-50,27",58
1,1,12,Óbidos,Óbidos (PA),"-0,1699","-55,68",59
1,1,12,Paragominas,Paragominas (PA),"-3,203","-47,6",60
